Date,CompanyName,Ticker,Price,TotalReturn,PriceReturn
26/11/2007,Microsoft,MSFT,32.97,-0.033421,-0.033421
27/11/2007,Microsoft,MSFT,33.06,0.00273,0.00273
28/11/2007,Microsoft,MSFT,33.7,0.019359,0.019359
29/11/2007,Microsoft,MSFT,33.59,-0.003264,-0.003264
30/11/2007,Microsoft,MSFT,33.6,0.000298,0.000298
03/12/2007,Microsoft,MSFT,32.92,-0.020238,-0.020238
04/12/2007,Microsoft,MSFT,32.77,-0.004557,-0.004557
05/12/2007,Microsoft,MSFT,34.15,0.042112,0.042112
06/12/2007,Microsoft,MSFT,34.55,0.011713,0.011713
07/12/2007,Microsoft,MSFT,34.53,-0.000579,-0.000579
10/12/2007,Microsoft,MSFT,34.76,0.006661,0.006661
11/12/2007,Microsoft,MSFT,34.1,-0.018987,-0.018987
12/12/2007,Microsoft,MSFT,34.47,0.01085,0.01085
13/12/2007,Microsoft,MSFT,35.22,0.021758,0.021758
14/12/2007,Microsoft,MSFT,35.31,0.002555,0.002555
17/12/2007,Microsoft,MSFT,34.39,-0.026055,-0.026055
18/12/2007,Microsoft,MSFT,34.74,0.010177,0.010177
19/12/2007,Microsoft,MSFT,34.79,0.001439,0.001439
20/12/2007,Microsoft,MSFT,35.52,0.020983,0.020983
21/12/2007,Microsoft,MSFT,36.06,0.015203,0.015203
24/12/2007,Microsoft,MSFT,36.58,0.01442,0.01442
26/12/2007,Microsoft,MSFT,36.61,0.00082,0.00082
27/12/2007,Microsoft,MSFT,35.97,-0.017482,-0.017482
28/12/2007,Microsoft,MSFT,36.12,0.00417,0.00417
31/12/2007,Microsoft,MSFT,35.6,-0.014396,-0.014396
02/01/2008,Microsoft,MSFT,35.22,-0.010674,-0.010674
03/01/2008,Microsoft,MSFT,35.37,0.004259,0.004259
04/01/2008,Microsoft,MSFT,34.38,-0.02799,-0.02799
07/01/2008,Microsoft,MSFT,34.61,0.00669,0.00669
08/01/2008,Microsoft,MSFT,33.45,-0.033516,-0.033516
09/01/2008,Microsoft,MSFT,34.44,0.029596,0.029596
10/01/2008,Microsoft,MSFT,34.33,-0.003194,-0.003194
11/01/2008,Microsoft,MSFT,33.91,-0.012234,-0.012234
14/01/2008,Microsoft,MSFT,34.39,0.014155,0.014155
15/01/2008,Microsoft,MSFT,34,-0.011341,-0.011341
16/01/2008,Microsoft,MSFT,33.23,-0.022647,-0.022647
17/01/2008,Microsoft,MSFT,33.11,-0.003611,-0.003611
18/01/2008,Microsoft,MSFT,33.01,-0.00302,-0.00302
22/01/2008,Microsoft,MSFT,31.99,-0.0309,-0.0309
23/01/2008,Microsoft,MSFT,31.93,-0.001876,-0.001876
24/01/2008,Microsoft,MSFT,33.25,0.04134,0.04134
25/01/2008,Microsoft,MSFT,32.94,-0.009323,-0.009323
28/01/2008,Microsoft,MSFT,32.72,-0.006679,-0.006679
29/01/2008,Microsoft,MSFT,32.6,-0.003667,-0.003667
30/01/2008,Microsoft,MSFT,32.2,-0.01227,-0.01227
31/01/2008,Microsoft,MSFT,32.6,0.012422,0.012422
01/02/2008,Microsoft,MSFT,30.4498,-0.065957,-0.065957
04/02/2008,Microsoft,MSFT,30.19,-0.008532,-0.008532
05/02/2008,Microsoft,MSFT,29.07,-0.037098,-0.037098
06/02/2008,Microsoft,MSFT,28.52,-0.01892,-0.01892
07/02/2008,Microsoft,MSFT,28.12,-0.014025,-0.014025
08/02/2008,Microsoft,MSFT,28.56,0.015647,0.015647
11/02/2008,Microsoft,MSFT,28.21,-0.012255,-0.012255
12/02/2008,Microsoft,MSFT,28.34,0.004608,0.004608
13/02/2008,Microsoft,MSFT,28.96,0.021877,0.021877
14/02/2008,Microsoft,MSFT,28.5,-0.015884,-0.015884
15/02/2008,Microsoft,MSFT,28.42,-0.002807,-0.002807
19/02/2008,Microsoft,MSFT,28.17,-0.004926,-0.008797
20/02/2008,Microsoft,MSFT,28.22,0.001775,0.001775
21/02/2008,Microsoft,MSFT,28.1,-0.004252,-0.004252
22/02/2008,Microsoft,MSFT,27.68,-0.014947,-0.014947
25/02/2008,Microsoft,MSFT,27.84,0.00578,0.00578
26/02/2008,Microsoft,MSFT,28.38,0.019397,0.019397
27/02/2008,Microsoft,MSFT,28.26,-0.004228,-0.004228
28/02/2008,Microsoft,MSFT,27.93,-0.011677,-0.011677
29/02/2008,Microsoft,MSFT,27.1999,-0.02614,-0.02614
03/03/2008,Microsoft,MSFT,26.99,-0.007717,-0.007717
