PERMNO	HdrCUSIP	SecurityNm	Ticker	PERMCO	DlyCalDt	DlyPrc	DlyCap	DlyRet	DlyPrcVol
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181127	116.440000	164362977.92	0.005006	335904016.1
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181128	118.500000	167270808.00	0.017692	472739752.5
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181129	118.270000	166946147.36	-0.001941	340378103.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181130	121.940000	172126601.92	0.031031	981545665.1
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181203	118.980000	167948360.64	-0.024274	727224677.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181204	117.800000	166282710.40	-0.009918	826709798.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181206	116.840000	164927605.12	-0.000276	606502536.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181207	115.820000	163487805.76	-0.008730	534178286.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181210	116.190000	164010085.92	0.003195	482288191.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181211	117.290000	165562810.72	0.009467	650831419.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181212	117.000000	165153456.00	-0.002473	571687155.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181213	118.350000	167059072.80	0.011538	731549399.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181214	113.950000	160848173.60	-0.037178	843336999.1
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181217	112.870000	159323680.16	-0.009478	678890024.5
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181218	111.840000	157869765.12	-0.009126	653834087.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181219	110.040000	155328942.72	-0.016094	760853093.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181220	110.210000	155568909.28	0.001545	932576190.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181221	109.420000	154453770.56	-0.007168	1451217217.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181224	106.030000	149668555.04	-0.030982	355587403.5
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181226	108.330000	152915161.44	0.021692	491476743.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181227	109.420000	154453770.56	0.010062	566342382.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181228	110.360000	155497240.00	0.008591	597077507.6
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181231	110.480000	155666320.00	0.001087	555004345.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190102	109.280000	153975520.00	-0.010862	528407813.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190103	108.260000	152538340.00	-0.009334	646942814.5
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190104	110.480000	155666320.00	0.020506	695349851.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190107	109.530000	154327770.00	-0.008599	571734551.7
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190108	110.580000	155807220.00	0.009586	708517575.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190109	107.490000	151453410.00	-0.027944	915899824.6
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190110	108.150000	152383350.00	0.006140	854861941.5
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190111	108.160000	152397440.00	0.000092	642300697.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190114	107.320000	151213880.00	-0.007766	622852762.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190115	108.990000	153566910.00	0.015561	491318091.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190116	108.340000	152651060.00	-0.005964	536590793.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190117	109.220000	153890980.00	0.008123	503695225.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190118	110.070000	155088630.00	0.007782	565895076.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190122	109.910000	154863190.00	-0.001454	582044781.6
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190123	110.730000	156018570.00	0.007461	575362824.2
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190124	109.500000	154285500.00	-0.011108	490228215.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190125	109.350000	154074150.00	-0.001370	554448786.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190128	108.820000	153327380.00	-0.004847	441245403.6
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190129	109.000000	153581000.00	0.001654	468746652.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190130	110.820000	156145380.00	0.016697	556181532.1
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190131	112.670000	158752030.00	0.016694	695479010.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190201	112.190000	158075710.00	-0.004260	560980740.1
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190204	113.090000	159343810.00	0.008022	413701314.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190205	112.900000	159076100.00	-0.001680	518364544.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190206	113.050000	159287450.00	0.001329	475634586.7
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190207	113.090000	159343810.00	0.000354	477994901.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190208	113.015000	158750588.29	-0.000663	437103029.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190211	112.970000	158687377.42	-0.000398	547991261.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190212	113.790000	159839219.94	0.007259	767790514.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190213	114.120000	160302766.32	0.002900	630756075.6
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190214	112.590000	158153596.74	-0.013407	715808263.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190215	115.910000	162817154.26	0.029488	1030370817.6
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190219	115.930000	162845247.98	0.000173	648008356.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190220	115.830000	162704779.38	-0.000863	699247177.2
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190221	116.100000	163084044.60	0.002331	560361874.5
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190222	116.760000	164011137.36	0.005685	567735225.1
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190225	116.060000	163027857.16	-0.005995	438094119.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190226	115.970000	162901435.42	-0.000775	472347317.6
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190227	115.370000	162058623.82	-0.005174	481244150.1
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190228	115.640000	162437889.04	0.010380	645872065.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190301	116.180000	163149482.76	0.004670	421395200.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190304	116.170000	163135439.94	-0.000086	510072149.6
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190305	116.030000	162938840.46	-0.001205	439149879.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190306	116.660000	163823538.12	0.005430	556349440.1
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190307	116.100000	163037140.20	-0.004800	563848821.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190308	115.230000	161815414.86	-0.007494	576206001.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190311	116.590000	163725238.38	0.011802	562106506.2
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190312	116.570000	163697152.74	-0.000172	507713873.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190313	116.580000	163711195.56	0.000086	695672264.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190314	115.500000	162194571.00	-0.009264	1037823402.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190315	115.660000	162419256.12	0.001385	2104304160.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190318	117.270000	164680150.14	0.013920	1108757477.1
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190319	118.090000	165831661.38	0.006992	797020585.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190320	118.320000	166154646.24	0.001948	678006138.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190321	119.440000	167727442.08	0.009466	513972535.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190322	120.720000	169490880.00	0.010717	804586607.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190325	120.850000	169673400.00	0.001077	516624928.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190326	122.020000	171316080.00	0.009681	559132734.1
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190327	121.890000	171133560.00	-0.001065	648173234.1
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190328	121.840000	171063360.00	-0.000410	450142753.6
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190329	122.550000	172060200.00	0.005827	705496452.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190401	122.000000	171288000.00	-0.004488	612981192.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190402	121.680000	170838720.00	-0.002623	394280677.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190403	121.560000	170670240.00	-0.000986	550341748.6
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190404	121.470000	170543880.00	-0.000740	366624884.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190405	121.620000	170754480.00	0.001235	482714036.7
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190408	122.000000	171288000.00	0.003124	382951534.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190409	122.170000	171526680.00	0.001393	471687496.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190410	122.040000	171078356.88	-0.001064	326858511.6
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190411	121.670000	170559682.74	-0.003032	413427603.1
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190412	122.230000	171344703.06	0.004603	426934722.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190415	123.660000	173349308.52	0.011699	546311207.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190416	122.410000	171597031.02	-0.010108	644132559.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190417	127.010000	178045412.22	0.037579	928693055.7
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190418	127.090000	178157557.98	0.000630	803164572.7
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190422	126.440000	177246373.68	-0.005114	467992877.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190423	127.090000	178157557.98	0.005141	566051107.5
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190424	126.920000	177919248.24	-0.001338	446056913.2
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190425	126.130000	176811808.86	-0.006224	558883669.7
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190426	126.400000	177190300.80	0.002141	381991923.2
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190429	126.690000	177596829.18	0.002294	353826039.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190430	128.050000	179503307.10	0.010735	635443771.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190501	127.240000	178367831.28	-0.006326	484614789.1
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190502	126.830000	177793084.26	-0.003222	364628132.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190503	127.670000	178970614.74	0.006623	364249021.2
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190506	127.270000	178409885.94	-0.003133	366810721.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190507	125.980000	176601535.56	-0.010136	448285594.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190508	126.020000	176657608.44	0.000318	484321450.2
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190509	126.050000	176699663.10	0.000238	393925535.7
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190510	128.010000	179447234.22	0.015549	475818930.5
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190513	127.160000	178255685.52	-0.006640	546316999.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190514	127.410000	178606141.02	0.001966	655349643.5
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20190515	129.350000	181325675.70	0.015226	485248246.6
